team_a,team_b,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Qatar,Ghana,0,1,0,1,0,100,0,Qatar,Ghana
Qatar,Iran,4,15,3,22,14,68,18,Qatar,Iran
Qatar,Japan,3,2,2,7,29,29,43,Qatar,Japan
Qatar,Morocco,1,1,0,2,0,50,50,Qatar,Morocco
Qatar,Portugal,0,2,0,2,0,100,0,Qatar,Portugal
Qatar,Saudi Arabia,14,17,8,39,21,44,36,Qatar,Saudi_Arabia
Qatar,Serbia,0,2,1,3,33,67,0,Qatar,Serbia
Qatar,South Korea,1,6,3,10,30,60,10,Qatar,South_Korea
Qatar,Switzerland,0,0,1,1,100,0,0,Qatar,Switzerland
Qatar,Tunisia,0,1,2,3,67,33,0,Qatar,Tunisia
Qatar,United States,0,1,0,1,0,100,0,Qatar,United_States
Qatar,Wales,0,1,0,1,0,100,0,Qatar,Wales
Saudi Arabia,Argentina,2,2,0,4,0,50,50,Saudi_Arabia,Argentina
Saudi Arabia,Australia,3,5,2,10,20,50,30,Saudi_Arabia,Australia
Saudi Arabia,Belgium,0,2,1,3,33,67,0,Saudi_Arabia,Belgium
Saudi Arabia,Brazil,0,5,0,5,0,100,0,Saudi_Arabia,Brazil
Saudi Arabia,Cameroon,1,2,2,5,40,40,20,Saudi_Arabia,Cameroon
Saudi Arabia,Canada,0,0,1,1,100,0,0,Saudi_Arabia,Canada
Saudi Arabia,Costa Rica,0,3,1,4,25,75,0,Saudi_Arabia,Costa_Rica
Saudi Arabia,Denmark,0,3,0,3,0,100,0,Saudi_Arabia,Denmark
Saudi Arabia,Ecuador,1,0,0,1,0,0,100,Saudi_Arabia,Ecuador
Saudi Arabia,England,2,0,0,2,0,0,100,Saudi_Arabia,England
Saudi Arabia,France,0,1,0,1,0,100,0,Saudi_Arabia,France
Saudi Arabia,Germany,0,3,0,3,0,100,0,Saudi_Arabia,Germany
Saudi Arabia,Ghana,2,2,1,5,20,40,40,Saudi_Arabia,Ghana
Saudi Arabia,Iran,6,4,4,14,29,29,43,Saudi_Arabia,Iran
Saudi Arabia,Japan,1,10,4,15,27,67,7,Saudi_Arabia,Japan
Saudi Arabia,Mexico,1,4,0,5,0,80,20,Saudi_Arabia,Mexico
Saudi Arabia,Morocco,1,3,3,7,43,43,14,Saudi_Arabia,Morocco
Saudi Arabia,Netherlands,0,1,0,1,0,100,0,Saudi_Arabia,Netherlands
Saudi Arabia,Poland,0,4,0,4,0,100,0,Saudi_Arabia,Poland
Saudi Arabia,Portugal,0,2,0,2,0,100,0,Saudi_Arabia,Portugal
Saudi Arabia,Qatar,14,8,17,39,44,21,36,Saudi_Arabia,Qatar
Saudi Arabia,Senegal,0,0,2,2,100,0,0,Saudi_Arabia,Senegal
Saudi Arabia,South Korea,8,4,4,16,25,25,50,Saudi_Arabia,South_Korea
Saudi Arabia,Spain,0,3,0,3,0,100,0,Saudi_Arabia,Spain
Saudi Arabia,Tunisia,1,4,3,8,38,50,12,Saudi_Arabia,Tunisia
Saudi Arabia,United States,2,2,2,6,33,33,33,Saudi_Arabia,United_States
Saudi Arabia,Uruguay,1,1,1,3,33,33,33,Saudi_Arabia,Uruguay
Saudi Arabia,Wales,0,1,0,1,0,100,0,Saudi_Arabia,Wales
Senegal,Brazil,1,0,0,1,0,0,100,Senegal,Brazil
Senegal,Cameroon,5,3,5,13,38,23,38,Senegal,Cameroon
Senegal,Croatia,0,1,0,1,0,100,0,Senegal,Croatia
Senegal,Denmark,1,2,0,3,0,67,33,Senegal,Denmark
Senegal,Ecuador,0,0,2,2,100,0,0,Senegal,Ecuador
Senegal,France,0,0,1,1,100,0,0,Senegal,France
Senegal,Ghana,5,3,4,12,33,25,42,Senegal,Ghana
Senegal,Iran,2,0,0,2,0,0,100,Senegal,Iran
Senegal,Japan,2,0,2,4,50,0,50,Senegal,Japan
Senegal,Mexico,0,1,0,1,0,100,0,Senegal,Mexico
Senegal,Morocco,5,18,6,29,21,62,17,Senegal,Morocco
Senegal,Poland,0,0,1,1,100,0,0,Senegal,Poland
Senegal,Saudi Arabia,0,2,0,2,0,100,0,Senegal,Saudi_Arabia
Senegal,South Korea,1,1,3,5,60,20,20,Senegal,South_Korea
Senegal,Tunisia,6,9,4,19,21,47,32,Senegal,Tunisia
Senegal,Uruguay,1,0,0,1,0,0,100,Senegal,Uruguay
Serbia,Argentina,0,3,1,4,25,75,0,Serbia,Argentina
Serbia,Australia,1,1,0,2,0,50,50,Serbia,Australia
Serbia,Belgium,1,3,2,6,33,50,17,Serbia,Belgium
Serbia,Brazil,1,4,0,5,0,80,20,Serbia,Brazil
Serbia,Cameroon,0,0,1,1,100,0,0,Serbia,Cameroon
Serbia,Costa Rica,0,0,1,1,100,0,0,Serbia,Costa_Rica
Serbia,Croatia,3,2,0,5,0,40,60,Serbia,Croatia
Serbia,Denmark,0,3,0,3,0,100,0,Serbia,Denmark
Serbia,Ecuador,0,1,0,1,0,100,0,Serbia,Ecuador
Serbia,England,0,1,0,1,0,100,0,Serbia,England
Serbia,France,2,4,0,6,0,67,33,Serbia,France
Serbia,Germany,2,2,1,5,20,40,40,Serbia,Germany
Serbia,Ghana,0,1,1,2,50,50,0,Serbia,Ghana
Serbia,Iran,0,0,1,1,100,0,0,Serbia,Iran
Serbia,Japan,0,4,4,8,50,50,0,Serbia,Japan
Serbia,Mexico,1,1,2,4,50,25,25,Serbia,Mexico
Serbia,Morocco,0,1,0,1,0,100,0,Serbia,Morocco
Serbia,Netherlands,0,3,0,3,0,100,0,Serbia,Netherlands
Serbia,Poland,3,4,0,7,0,57,43,Serbia,Poland
Serbia,Portugal,4,3,1,8,12,38,50,Serbia,Portugal
Serbia,Qatar,0,1,2,3,67,33,0,Serbia,Qatar
Serbia,South Korea,4,2,3,9,33,22,44,Serbia,South_Korea
Serbia,Spain,3,3,0,6,0,50,50,Serbia,Spain
Serbia,Switzerland,3,1,1,5,20,20,60,Serbia,Switzerland
Serbia,Tunisia,0,0,2,2,100,0,0,Serbia,Tunisia
Serbia,United States,1,0,1,2,50,0,50,Serbia,United_States
Serbia,Uruguay,1,0,1,2,50,0,50,Serbia,Uruguay
Serbia,Wales,2,0,4,6,67,0,33,Serbia,Wales
South Korea,Argentina,0,3,0,3,0,100,0,South_Korea,Argentina
South Korea,Australia,11,9,8,28,29,32,39,South_Korea,Australia
South Korea,Belgium,1,3,0,4,0,75,25,South_Korea,Belgium
South Korea,Brazil,0,6,1,7,14,86,0,South_Korea,Brazil
South Korea,Cameroon,2,0,3,5,60,0,40,South_Korea,Cameroon
South Korea,Canada,1,2,2,5,40,40,20,South_Korea,Canada
South Korea,Costa Rica,3,3,4,10,40,30,30,South_Korea,Costa_Rica
South Korea,Croatia,2,3,2,7,29,43,29,South_Korea,Croatia
South Korea,Denmark,1,0,0,1,0,0,100,South_Korea,Denmark
South Korea,Ecuador,0,1,1,2,50,50,0,South_Korea,Ecuador
South Korea,England,1,0,0,1,0,0,100,South_Korea,England
South Korea,France,1,2,0,3,0,67,33,South_Korea,France
South Korea,Germany,0,2,2,4,50,50,0,South_Korea,Germany
South Korea,Ghana,0,3,3,6,50,50,0,South_Korea,Ghana
South Korea,Iran,9,10,8,27,30,37,33,South_Korea,Iran
South Korea,Japan,21,12,33,66,50,18,32,South_Korea,Japan
South Korea,Mexico,2,8,3,13,23,62,15,South_Korea,Mexico
South Korea,Morocco,3,1,0,4,0,25,75,South_Korea,Morocco
South Korea,Netherlands,0,2,0,2,0,100,0,South_Korea,Netherlands
South Korea,Poland,1,1,1,3,33,33,33,South_Korea,Poland
South Korea,Portugal,0,0,1,1,100,0,0,South_Korea,Portugal
South Korea,Qatar,1,3,6,10,60,30,10,South_Korea,Qatar
South Korea,Saudi Arabia,8,4,4,16,25,25,50,South_Korea,Saudi_Arabia
South Korea,Senegal,1,3,1,5,20,60,20,South_Korea,Senegal
South Korea,Serbia,4,3,2,9,22,33,44,South_Korea,Serbia
South Korea,Spain,2,4,0,6,0,67,33,South_Korea,Spain
South Korea,Switzerland,0,1,1,2,50,50,0,South_Korea,Switzerland
South Korea,Tunisia,1,1,0,2,0,50,50,South_Korea,Tunisia
South Korea,United States,2,3,4,9,44,33,22,South_Korea,United_States
South Korea,Uruguay,1,6,1,8,12,75,12,South_Korea,Uruguay
Spain,Argentina,2,6,6,14,43,43,14,Spain,Argentina
Spain,Australia,0,0,1,1,100,0,0,Spain,Australia
Spain,Belgium,6,4,11,21,52,19,29,Spain,Belgium
Spain,Brazil,2,5,2,9,22,56,22,Spain,Brazil
Spain,Canada,0,0,2,2,100,0,0,Spain,Canada
Spain,Costa Rica,1,0,2,3,67,0,33,Spain,Costa_Rica
Spain,Croatia,1,3,5,9,56,33,11,Spain,Croatia
Spain,Denmark,3,2,11,16,69,12,19,Spain,Denmark
Spain,Ecuador,0,0,2,2,100,0,0,Spain,Ecuador
Spain,England,4,13,10,27,37,48,15,Spain,England
Spain,France,7,13,16,36,44,36,19,Spain,France
Spain,Germany,8,9,8,25,32,36,32,Spain,Germany
Spain,Iran,0,0,1,1,100,0,0,Spain,Iran
Spain,Japan,0,0,1,1,100,0,0,Spain,Japan
Spain,Mexico,3,0,3,6,50,0,50,Spain,Mexico
Spain,Morocco,1,0,2,3,67,0,33,Spain,Morocco
Spain,Netherlands,2,6,4,12,33,50,17,Spain,Netherlands
Spain,Poland,2,1,8,11,73,9,18,Spain,Poland
Spain,Portugal,17,8,15,40,38,20,42,Spain,Portugal
Spain,Saudi Arabia,0,0,3,3,100,0,0,Spain,Saudi_Arabia
Spain,Serbia,3,0,3,6,50,0,50,Spain,Serbia
Spain,South Korea,2,0,4,6,67,0,33,Spain,South_Korea
Spain,Switzerland,6,1,17,24,71,4,25,Spain,Switzerland
Spain,Tunisia,0,0,2,2,100,0,0,Spain,Tunisia
Spain,United States,0,1,4,5,80,20,0,Spain,United_States
Spain,Uruguay,5,0,5,10,50,0,50,Spain,Uruguay
Spain,Wales,2,1,3,6,50,17,33,Spain,Wales
Switzerland,Argentina,2,5,0,7,0,71,29,Switzerland,Argentina
Switzerland,Australia,1,0,0,1,0,0,100,Switzerland,Australia
Switzerland,Belgium,6,15,9,30,30,50,20,Switzerland,Belgium
Switzerland,Brazil,4,3,2,9,22,33,44,Switzerland,Brazil
Switzerland,Canada,0,1,0,1,0,100,0,Switzerland,Canada
Switzerland,Costa Rica,1,1,1,3,33,33,33,Switzerland,Costa_Rica
Switzerland,Croatia,2,3,2,7,29,43,29,Switzerland,Croatia
Switzerland,Denmark,6,4,2,12,17,33,50,Switzerland,Denmark
Switzerland,Ecuador,0,0,1,1,100,0,0,Switzerland,Ecuador
Switzerland,England,6,19,4,29,14,66,21,Switzerland,England
Switzerland,France,11,16,12,39,31,41,28,Switzerland,France
Switzerland,Germany,8,35,9,52,17,67,15,Switzerland,Germany
Switzerland,Japan,1,1,1,3,33,33,33,Switzerland,Japan
Switzerland,Mexico,1,1,4,6,67,17,17,Switzerland,Mexico
Switzerland,Morocco,0,2,0,2,0,100,0,Switzerland,Morocco
Switzerland,Netherlands,3,14,15,32,47,44,9,Switzerland,Netherlands
Switzerland,Poland,5,4,1,10,10,40,50,Switzerland,Poland
Switzerland,Portugal,5,9,11,25,44,36,20,Switzerland,Portugal
Switzerland,Qatar,0,1,0,1,0,100,0,Switzerland,Qatar
Switzerland,Serbia,3,1,1,5,20,20,60,Switzerland,Serbia
Switzerland,South Korea,0,1,1,2,50,50,0,Switzerland,South_Korea
Switzerland,Spain,6,17,1,24,4,71,25,Switzerland,Spain
Switzerland,Tunisia,1,0,2,3,67,0,33,Switzerland,Tunisia
Switzerland,United States,4,1,4,9,44,11,44,Switzerland,United_States
Switzerland,Uruguay,1,2,0,3,0,67,33,Switzerland,Uruguay
Switzerland,Wales,1,2,5,8,62,25,12,Switzerland,Wales
Tunisia,Argentina,0,1,0,1,0,100,0,Tunisia,Argentina
Tunisia,Australia,0,0,1,1,100,0,0,Tunisia,Australia
Tunisia,Belgium,1,2,1,4,25,50,25,Tunisia,Belgium
Tunisia,Brazil,0,2,0,2,0,100,0,Tunisia,Brazil
Tunisia,Cameroon,7,9,3,19,16,47,37,Tunisia,Cameroon
Tunisia,Canada,0,0,1,1,100,0,0,Tunisia,Canada
Tunisia,Costa Rica,0,0,1,1,100,0,0,Tunisia,Costa_Rica
Tunisia,Croatia,0,0,1,1,100,0,0,Tunisia,Croatia
Tunisia,Denmark,0,1,0,1,0,100,0,Tunisia,Denmark
Tunisia,England,1,2,0,3,0,67,33,Tunisia,England
Tunisia,France,2,2,0,4,0,50,50,Tunisia,France
Tunisia,Germany,2,1,0,3,0,33,67,Tunisia,Germany
Tunisia,Ghana,5,9,3,17,18,53,29,Tunisia,Ghana
Tunisia,Iran,1,0,1,2,50,0,50,Tunisia,Iran
Tunisia,Japan,0,4,1,5,20,80,0,Tunisia,Japan
Tunisia,Mexico,0,0,1,1,100,0,0,Tunisia,Mexico
Tunisia,Morocco,22,10,6,38,16,26,58,Tunisia,Morocco
Tunisia,Netherlands,2,1,0,3,0,33,67,Tunisia,Netherlands
Tunisia,Poland,0,2,1,3,33,67,0,Tunisia,Poland
Tunisia,Portugal,2,0,0,2,0,0,100,Tunisia,Portugal
Tunisia,Qatar,0,2,1,3,33,67,0,Tunisia,Qatar
Tunisia,Saudi Arabia,1,3,4,8,50,38,12,Tunisia,Saudi_Arabia
Tunisia,Senegal,6,4,9,19,47,21,32,Tunisia,Senegal
Tunisia,Serbia,0,2,0,2,0,100,0,Tunisia,Serbia
Tunisia,South Korea,1,0,1,2,50,0,50,Tunisia,South_Korea
Tunisia,Spain,0,2,0,2,0,100,0,Tunisia,Spain
Tunisia,Switzerland,1,2,0,3,0,67,33,Tunisia,Switzerland
Tunisia,United States,1,0,0,1,0,0,100,Tunisia,United_States
Tunisia,Uruguay,1,0,0,1,0,0,100,Tunisia,Uruguay
Tunisia,Wales,0,0,1,1,100,0,0,Tunisia,Wales
United States,Argentina,2,6,2,10,20,60,20,United_States,Argentina
United States,Australia,1,1,1,3,33,33,33,United_States,Australia
United States,Belgium,0,5,1,6,17,83,0,United_States,Belgium
United States,Brazil,0,17,1,18,6,94,0,United_States,Brazil
United States,Cameroon,1,0,0,1,0,0,100,United_States,Cameroon
United States,Canada,11,10,15,36,42,28,31,United_States,Canada
United States,Costa Rica,6,16,19,41,46,39,15,United_States,Costa_Rica
United States,Croatia,0,1,0,1,0,100,0,United_States,Croatia
United States,Denmark,1,2,0,3,0,67,33,United_States,Denmark
United States,Ecuador,4,5,4,13,31,38,31,United_States,Ecuador
United States,England,1,8,2,11,18,73,9,United_States,England
United States,France,1,3,0,4,0,75,25,United_States,France
United States,Germany,0,7,4,11,36,64,0,United_States,Germany
United States,Ghana,0,2,2,4,50,50,0,United_States,Ghana
United States,Iran,1,1,0,2,0,50,50,United_States,Iran
United States,Japan,0,2,1,3,33,67,0,United_States,Japan
United States,Mexico,15,35,21,71,30,49,21,United_States,Mexico
United States,Morocco,0,3,1,4,25,75,0,United_States,Morocco
United States,Netherlands,0,4,1,5,20,80,0,United_States,Netherlands
United States,Poland,3,6,7,16,44,38,19,United_States,Poland
United States,Portugal,3,2,2,7,29,29,43,United_States,Portugal
United States,Qatar,0,0,1,1,100,0,0,United_States,Qatar
United States,Saudi Arabia,2,2,2,6,33,33,33,United_States,Saudi_Arabia
United States,Serbia,1,1,0,2,0,50,50,United_States,Serbia
United States,South Korea,2,4,3,9,33,44,22,United_States,South_Korea
United States,Spain,0,4,1,5,20,80,0,United_States,Spain
United States,Switzerland,4,4,1,9,11,44,44,United_States,Switzerland
United States,Tunisia,1,0,0,1,0,0,100,United_States,Tunisia
United States,Uruguay,4,1,2,7,29,14,57,United_States,Uruguay
United States,Wales,1,0,1,2,50,0,50,United_States,Wales
Uruguay,Argentina,43,84,52,179,29,47,24,Uruguay,Argentina
Uruguay,Australia,0,3,4,7,57,43,0,Uruguay,Australia
Uruguay,Belgium,0,2,0,2,0,100,0,Uruguay,Belgium
Uruguay,Brazil,19,37,20,76,26,49,25,Uruguay,Brazil
Uruguay,Canada,0,0,2,2,100,0,0,Uruguay,Canada
Uruguay,Costa Rica,3,1,6,10,60,10,30,Uruguay,Costa_Rica
Uruguay,Denmark,0,2,0,2,0,100,0,Uruguay,Denmark
Uruguay,Ecuador,10,7,31,48,65,15,21,Uruguay,Ecuador
Uruguay,England,3,3,5,11,45,27,27,Uruguay,England
Uruguay,France,4,3,2,9,22,33,44,Uruguay,France
Uruguay,Germany,2,8,0,10,0,80,20,Uruguay,Germany
Uruguay,Ghana,1,0,0,1,0,0,100,Uruguay,Ghana
Uruguay,Iran,1,1,0,2,0,50,50,Uruguay,Iran
Uruguay,Japan,2,2,4,8,50,25,25,Uruguay,Japan
Uruguay,Mexico,7,8,7,22,32,36,32,Uruguay,Mexico
Uruguay,Morocco,0,0,1,1,100,0,0,Uruguay,Morocco
Uruguay,Netherlands,1,2,1,4,25,50,25,Uruguay,Netherlands
Uruguay,Poland,2,1,1,4,25,25,50,Uruguay,Poland
Uruguay,Portugal,1,1,1,3,33,33,33,Uruguay,Portugal
Uruguay,Saudi Arabia,1,1,1,3,33,33,33,Uruguay,Saudi_Arabia
Uruguay,Senegal,1,0,0,1,0,0,100,Uruguay,Senegal
Uruguay,Serbia,1,1,0,2,0,50,50,Uruguay,Serbia
Uruguay,South Korea,1,1,6,8,75,12,12,Uruguay,South_Korea
Uruguay,Spain,5,5,0,10,0,50,50,Uruguay,Spain
Uruguay,Switzerland,1,0,2,3,67,0,33,Uruguay,Switzerland
Uruguay,Tunisia,1,0,0,1,0,0,100,Uruguay,Tunisia
Uruguay,United States,4,2,1,7,14,29,57,Uruguay,United_States
Uruguay,Wales,1,0,1,2,50,0,50,Uruguay,Wales
Wales,Argentina,1,1,0,2,0,50,50,Wales,Argentina
Wales,Australia,0,1,0,1,0,100,0,Wales,Australia
Wales,Belgium,5,6,5,16,31,38,31,Wales,Belgium
Wales,Brazil,1,8,1,10,10,80,10,Wales,Brazil
Wales,Canada,0,1,2,3,67,33,0,Wales,Canada
Wales,Costa Rica,0,1,1,2,50,50,0,Wales,Costa_Rica
Wales,Croatia,2,4,0,6,0,67,33,Wales,Croatia
Wales,Denmark,0,7,4,11,36,64,0,Wales,Denmark
Wales,England,19,51,13,83,16,61,23,Wales,England
Wales,France,1,4,1,6,17,67,17,Wales,France
Wales,Germany,6,9,2,17,12,53,35,Wales,Germany
Wales,Iran,0,0,1,1,100,0,0,Wales,Iran
Wales,Japan,0,0,1,1,100,0,0,Wales,Japan
Wales,Mexico,2,2,1,5,20,40,40,Wales,Mexico
Wales,Netherlands,0,10,0,10,0,100,0,Wales,Netherlands
Wales,Poland,2,6,1,9,11,67,22,Wales,Poland
Wales,Portugal,0,3,1,4,25,75,0,Wales,Portugal
Wales,Qatar,0,0,1,1,100,0,0,Wales,Qatar
Wales,Saudi Arabia,0,0,1,1,100,0,0,Wales,Saudi_Arabia
Wales,Serbia,2,4,0,6,0,67,33,Wales,Serbia
Wales,Spain,2,3,1,6,17,50,33,Wales,Spain
Wales,Switzerland,1,5,2,8,25,62,12,Wales,Switzerland
Wales,Tunisia,0,1,0,1,0,100,0,Wales,Tunisia
Wales,United States,1,1,0,2,0,50,50,Wales,United_States
Wales,Uruguay,1,1,0,2,0,50,50,Wales,Uruguay